anime id,naslov,ocena,tip,število epizod,leto izdaje,število članov
52991,Sousou no Frieren,9.29,TV,28,2023,1202293
5114,Fullmetal Alchemist: Brotherhood,9.10,TV,64,2009,3564751
9253,Steins;Gate,9.07,TV,24,2011,2728922
38524,Shingeki no Kyojin Season 3 Part 2,9.05,TV,10,2019,2486087
39486,Gintama: The Final,9.05,Movie,1,2021,173489
28977,Gintama°,9.05,TV,51,2015,674457
11061,Hunter x Hunter (2011),9.03,TV,148,2011,3068840
60022,One Piece Fan Letter,9.03,TV Special,1,2024,124289
820,Ginga Eiyuu Densetsu,9.02,OVA,110,1988,349294
9969,Gintama',9.02,TV,51,2011,596286
15417,Gintama': Enchousen,9.02,TV,13,2012,348989
41467,Bleach: Sennen Kessen-hen,8.99,TV,13,2022,655291
34096,Gintama.,8.98,TV,12,2017,338885
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.97,TV,13,2022,1052911
42938,Fruits Basket: The Final,8.95,TV,13,2021,538445
4181,Clannad: After Story,8.93,TV,24,2008,1255573
918,Gintama,8.93,TV,201,2006,1126233
28851,Koe no Katachi,8.93,Movie,1,2016,2516631
58514,Kusuriya no Hitorigoto 2nd Season,8.91,TV,24,2025,384764
2904,Code Geass: Hangyaku no Lelouch R2,8.91,TV,25,2008,1894604
35180,3-gatsu no Lion 2nd Season,8.90,TV,22,2017,428115
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,Movie,1,2013,256611
19,Monster,8.89,TV,74,2004,1258697
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV,14,2018,218548
60489,Takopii no Genzai,8.88,ONA,6,2025,196881
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,TV Special,2,2023,795865
54492,Kusuriya no Hitorigoto,8.86,TV,24,2023,708317
35247,Owarimonogatari 2nd Season,8.86,TV Special,7,2017,426058
37987,Violet Evergarden Movie,8.84,Movie,1,2020,691014
59571,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,Movie,1,2024,58795
32281,Kimi no Na wa.,8.83,Movie,1,2016,2933111
40682,Kingdom 3rd Season,8.83,TV,26,2020,123451
49387,Vinland Saga Season 2,8.82,TV,24,2023,776779
36838,Gintama. Shirogane no Tamashii-hen,8.81,TV,12,2018,231074
263,Hajime no Ippo,8.78,TV,75,2000,662315
59192,Kimetsu no Yaiba Movie: Mugen Jou-hen,8.78,Movie,3,2025,182958
31758,Kizumonogatari III: Reiketsu-hen,8.78,Movie,1,2017,497252
37510,Mob Psycho 100 II,8.78,TV,13,2019,1664537
40028,Shingeki no Kyojin: The Final Season,8.78,TV,16,2020,2192341
199,Sen to Chihiro no Kamikakushi,8.77,Movie,1,2001,1972165
48583,Shingeki no Kyojin: The Final Season Part 2,8.77,TV,12,2022,1472340
37521,Vinland Saga,8.77,TV,24,2019,1717239
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,TV,10,2016,1289843
