anime id,studio
52991,Madhouse
5114,Bones
9253,White Fox
38524,Wit Studio
39486,Bandai Namco Pictures
28977,Bandai Namco Pictures
11061,Madhouse
60022,Toei Animation
820,K-Factory
820,Kitty Film Mitaka Studio
9969,Sunrise
15417,Sunrise
41467,Studio Pierrot
34096,Bandai Namco Pictures
43608,A-1 Pictures
42938,TMS Entertainment
4181,Kyoto Animation
918,Sunrise
28851,Kyoto Animation
58514,OLM
58514,TOHO animation STUDIO
2904,Sunrise
35180,Shaft
15335,Sunrise
19,Madhouse
37491,Bandai Namco Pictures
60489,Enishiya
51535,MAPPA
54492,OLM
54492,TOHO animation STUDIO
35247,Shaft
37987,Kyoto Animation
59571,MAPPA
32281,CoMix Wave Films
40682,Studio Pierrot
40682,Studio Signpost
49387,MAPPA
36838,Bandai Namco Pictures
263,Madhouse
59192,ufotable
31758,Shaft
37510,Bones
40028,MAPPA
199,Studio Ghibli
48583,MAPPA
37521,Wit Studio
32935,Production I.G
2921,Tokyo Movie Shinsha
17074,Shaft
47917,CloverWorks
1,Sunrise
55690,Shin-Ei Animation
51009,MAPPA
52198,A-1 Pictures
50160,Studio Pierrot
50160,Studio Signpost
21,Toei Animation
53223,Studio Pierrot
53223,Studio Signpost
24701,Artland
44074,LAN Studio
45649,Toei Animation
45649,DandeLion Animation Studio
48569,A-1 Pictures
39894,Kyoto Animation
59845,CloverWorks
47778,ufotable
50172,Bones
53998,Studio Pierrot
52215,Madhouse
1575,Sunrise
33095,Studio Deen
44,Studio Deen
33352,Kyoto Animation
40434,B.CMAY PICTURES
21939,Artland
245,Studio Pierrot
56784,Pierrot Films
59986,Zero-G
59986,Liber
5258,Madhouse
431,Studio Ghibli
164,Studio Ghibli
57864,Shaft
58567,A-1 Pictures
457,Artland
49413,LAN Studio
50399,Red Dog Culture House
23273,A-1 Pictures
35760,Wit Studio
2001,Gainax
46102,OLM
46102,P.I.C.S.
33050,ufotable
58125,Studio DURIAN
34599,Kinema Citrus
45576,Studio Bind
11665,Brain's Base
40591,A-1 Pictures
22135,Tatsunoko Production
57647,CygamesPictures
54898,Bones
1535,Madhouse
49818,B.CMAY PICTURES
28891,Production I.G
42310,Trigger
52742,Production I.G
19647,Madhouse
19647,MAPPA
36862,Kinema Citrus
41084,Kinema Citrus
34591,Shuka
33,OLM
52701,Trigger
4565,Gainax
38329,CloverWorks
7311,Kyoto Animation
3786,Khara
37991,David Production
28957,Artland
877,Madhouse
55823,Shuka
31757,Shaft
32983,Shuka
10379,Brain's Base
12355,Studio Chizu
16498,Wit Studio
32,Gainax
32,Production I.G
52034,Doga Kobo
49701,Motion Magic
40776,Production I.G
40456,ufotable
36098,Studio VOLN
437,Madhouse
28735,Studio Deen
170,Toei Animation
59636,CygamesPictures
7785,Madhouse
55791,Doga Kobo
30484,White Fox
60543,Science SARU
11741,ufotable
40748,MAPPA
25777,Wit Studio
5300,Brain's Base
40417,TMS Entertainment
578,Studio Ghibli
12365,J.C.Staff
7472,Sunrise
53273,David Production
21329,Artland
205,Manglobe
40664,Kinema Citrus
35843,Bandai Namco Pictures
4282,ufotable
