anime_id,zvrst
52991,Adventure
52991,Drama
52991,Fantasy
5114,Action
5114,Adventure
5114,Drama
5114,Fantasy
9253,Drama
9253,Sci-Fi
9253,Suspense
38524,Action
38524,Drama
38524,Suspense
39486,Action
39486,Comedy
39486,Drama
39486,Sci-Fi
28977,Action
28977,Comedy
28977,Sci-Fi
11061,Action
11061,Adventure
11061,Fantasy
60022,Action
60022,Adventure
60022,Fantasy
820,Drama
820,Sci-Fi
9969,Action
9969,Comedy
9969,Sci-Fi
15417,Action
15417,Comedy
15417,Sci-Fi
41467,Action
41467,Adventure
41467,Supernatural
34096,Action
34096,Comedy
34096,Sci-Fi
43608,Comedy
43608,Romance
42938,Drama
42938,Romance
42938,Supernatural
4181,Drama
4181,Romance
918,Action
918,Comedy
918,Sci-Fi
28851,Award Winning
28851,Drama
58514,Drama
58514,Mystery
2904,Action
2904,Award Winning
2904,Drama
2904,Sci-Fi
15335,Action
15335,Comedy
15335,Sci-Fi
19,Drama
19,Mystery
19,Suspense
37491,Action
37491,Comedy
37491,Sci-Fi
60489,Drama
60489,Sci-Fi
51535,Action
51535,Drama
51535,Suspense
54492,Drama
54492,Mystery
35247,Comedy
35247,Mystery
35247,Supernatural
37987,Award Winning
37987,Drama
59571,Action
59571,Drama
59571,Suspense
32281,Award Winning
32281,Drama
49387,Action
49387,Adventure
49387,Drama
36838,Action
36838,Comedy
36838,Sci-Fi
59192,Action
59192,Supernatural
31758,Action
31758,Mystery
31758,Supernatural
37510,Action
37510,Comedy
37510,Supernatural
40028,Action
40028,Drama
40028,Suspense
199,Adventure
199,Award Winning
199,Fantasy
48583,Action
48583,Drama
48583,Suspense
37521,Action
37521,Adventure
37521,Drama
2921,Drama
2921,Sports
17074,Comedy
17074,Mystery
17074,Romance
17074,Supernatural
1,Action
1,Award Winning
1,Sci-Fi
55690,Comedy
55690,Romance
51009,Action
51009,Supernatural
52198,Comedy
52198,Drama
52198,Romance
21,Action
21,Adventure
21,Fantasy
24701,Adventure
24701,Mystery
24701,Slice of Life
24701,Supernatural
44074,Drama
44074,Mystery
44074,Suspense
45649,Award Winning
45649,Sports
48569,Action
48569,Drama
48569,Sci-Fi
59845,Drama
59845,Romance
47778,Action
47778,Supernatural
50172,Action
50172,Comedy
50172,Supernatural
53998,Action
53998,Adventure
53998,Supernatural
1575,Action
1575,Award Winning
1575,Drama
1575,Sci-Fi
44,Action
44,Drama
44,Romance
40434,Action
40434,Adventure
40434,Drama
40434,Fantasy
40434,Mystery
21939,Adventure
21939,Mystery
21939,Slice of Life
21939,Supernatural
56784,Action
56784,Adventure
56784,Supernatural
431,Adventure
431,Award Winning
431,Drama
431,Fantasy
431,Romance
164,Action
164,Adventure
164,Award Winning
164,Fantasy
57864,Comedy
57864,Mystery
57864,Supernatural
58567,Action
58567,Adventure
58567,Fantasy
457,Adventure
457,Mystery
457,Slice of Life
457,Supernatural
49413,Drama
49413,Mystery
49413,Suspense
50399,Action
50399,Adventure
50399,Drama
50399,Fantasy
23273,Drama
23273,Romance
35760,Action
35760,Drama
35760,Suspense
2001,Action
2001,Adventure
2001,Award Winning
2001,Sci-Fi
46102,Award Winning
46102,Drama
46102,Mystery
46102,Suspense
33050,Action
33050,Fantasy
34599,Adventure
34599,Drama
34599,Fantasy
34599,Mystery
34599,Sci-Fi
45576,Adventure
45576,Drama
45576,Fantasy
45576,Ecchi
11665,Slice of Life
11665,Supernatural
40591,Comedy
40591,Romance
22135,Award Winning
22135,Drama
22135,Sports
54898,Action
54898,Mystery
1535,Supernatural
1535,Suspense
49818,Action
49818,Fantasy
49818,Mystery
49818,Suspense
42310,Action
42310,Sci-Fi
36862,Adventure
36862,Drama
36862,Fantasy
36862,Mystery
36862,Sci-Fi
41084,Adventure
41084,Drama
41084,Fantasy
41084,Mystery
41084,Sci-Fi
34591,Slice of Life
34591,Supernatural
33,Action
33,Adventure
33,Drama
33,Fantasy
33,Horror
52701,Adventure
52701,Comedy
52701,Fantasy
52701,Gourmet
4565,Action
4565,Sci-Fi
38329,Drama
38329,Romance
38329,Supernatural
7311,Award Winning
7311,Mystery
7311,Sci-Fi
7311,Supernatural
3786,Action
3786,Award Winning
3786,Drama
3786,Sci-Fi
3786,Suspense
37991,Action
37991,Adventure
28957,Adventure
28957,Mystery
28957,Slice of Life
28957,Supernatural
877,Drama
877,Romance
