naslov,povezava,ocena,studii,tip,epizode,zvrsti,leto izdaje
Sousou no Frieren,https://myanimelist.net/anime/52991/Sousou_no_Frieren,9.29,['Madhouse'],TV,28,"['Adventure', 'Drama', 'Fantasy']",2023
Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,9.10,['Bones'],TV,64,"['Action', 'Adventure', 'Drama', 'Fantasy']",2009
Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,9.07,['White Fox'],TV,24,"['Drama', 'Sci-Fi', 'Suspense']",2011
Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,9.05,['Wit Studio'],TV,10,"['Action', 'Drama', 'Suspense']",2019
Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,9.05,['Bandai Namco Pictures'],Movie,1,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",2021
Gintama°,https://myanimelist.net/anime/28977/Gintama°,9.05,['Bandai Namco Pictures'],TV,51,"['Action', 'Comedy', 'Sci-Fi']",2015
Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,9.03,['Madhouse'],TV,148,"['Action', 'Adventure', 'Fantasy']",2011
One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,9.03,['Toei Animation'],TV Special,1,"['Action', 'Adventure', 'Fantasy']",2024
Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,9.02,"['K-Factory', 'Kitty Film Mitaka Studio']",OVA,110,"['Drama', 'Sci-Fi']",1988
Gintama',https://myanimelist.net/anime/9969/Gintama,9.02,['Sunrise'],TV,51,"['Action', 'Comedy', 'Sci-Fi']",2011
Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,9.02,['Sunrise'],TV,13,"['Action', 'Comedy', 'Sci-Fi']",2012
Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,8.99,['Studio Pierrot'],TV,13,"['Action', 'Adventure', 'Supernatural']",2022
Gintama.,https://myanimelist.net/anime/34096/Gintama,8.98,['Bandai Namco Pictures'],TV,12,"['Action', 'Comedy', 'Sci-Fi']",2017
